(72, 5003.85)
(48, 4995.79)
(96, 5008.64)
(24, 4999.41)
(97, 5000.75)
(25, 5003.55)
(73, 5003.05)
(1, 5002.83)
(49, 4995.34)
(26, 4998.93)
(2, 5003.35)
(98, 5005.97)
(74, 4999.33)
(50, 4997.83)
(99, 4996.63)
(75, 4998.68)
(51, 5001.0)
(27, 5000.57)
(3, 5002.84)
(76, 4999.26)
(52, 4998.92)
(28, 4999.61)
(4, 4997.41)
(29, 5001.75)
(53, 4998.67)
(77, 5000.11)
(5, 5002.26)
(30, 4998.17)
(6, 4998.3)
(78, 4997.26)
(54, 4998.57)
(31, 4998.39)
(7, 4996.8)
(79, 4999.27)
(55, 4999.58)
(8, 5003.93)
(80, 4998.98)
(56, 4997.95)
(32, 4999.5)
(81, 4998.34)
(9, 5005.52)
(33, 5000.08)
(57, 4999.8)
(82, 4997.57)
(10, 5001.09)
(34, 4993.89)
(58, 5005.1)
(59, 5003.47)
(11, 4997.02)
(35, 4999.44)
(83, 4998.96)
(84, 4994.28)
(12, 4998.99)
(60, 5001.85)
(36, 5002.52)
(13, 4996.64)
(85, 5002.1)
(37, 5001.25)
(61, 4998.56)
(14, 5003.7)
(86, 4998.95)
(38, 5003.21)
(62, 4997.76)
(87, 5002.32)
(39, 5003.19)
(15, 4996.58)
(63, 4999.71)
(64, 4997.54)
(40, 5005.38)
(88, 5001.42)
(16, 4996.18)
(65, 5002.13)
(41, 5003.54)
(17, 5004.09)
(89, 4999.92)
(66, 5000.79)
(90, 5000.73)
(42, 4997.27)
(18, 5000.48)
(67, 5002.37)
(91, 4995.25)
(19, 5001.62)
(43, 5001.41)
(92, 5004.27)
(68, 5004.2)
(20, 4998.09)
(44, 5001.21)
(69, 5001.91)
(21, 5001.34)
(93, 5005.05)
(45, 5003.58)
(22, 4999.4)
(46, 4996.39)
(70, 4994.82)
(94, 5000.23)
(71, 5001.55)
(95, 4998.72)
(23, 4998.74)
(47, 4999.24)
