(33, 4997.42)
(24, 5001.15)
(87, 4985.35)
(54, 4996.62)
(84, 5005.56)
(96, 4994.48)
(30, 4991.16)
(48, 5008.51)
(69, 4995.71)
(99, 4985.46)
(18, 4990.02)
(51, 4994.07)
(66, 4999.18)
(42, 5000.44)
(72, 5009.38)
(45, 4979.03)
(3, 5014.78)
(27, 4991.66)
(60, 5002.93)
(39, 5013.62)
(57, 5007.94)
(93, 5002.51)
(75, 4986.43)
(6, 5007.1)
(15, 5020.46)
(78, 4999.05)
(63, 5004.13)
(90, 5002.93)
(21, 4992.29)
(9, 4999.97)
(81, 4988.91)
(36, 5003.66)
(12, 5006.23)
(19, 5001.89)
(46, 4999.7)
(22, 4993.21)
(82, 4996.14)
(67, 4999.76)
(13, 4998.87)
(94, 5003.57)
(73, 4992.36)
(49, 4999.52)
(52, 4989.02)
(25, 5006.59)
(31, 5012.51)
(58, 5008.14)
(88, 5000.89)
(70, 4993.41)
(1, 4997.31)
(40, 5014.11)
(34, 5001.44)
(61, 4998.37)
(55, 5001.65)
(37, 5005.8)
(7, 5011.63)
(43, 5003.6)
(4, 4989.57)
(91, 5000.46)
(97, 4987.28)
(64, 5011.44)
(79, 5013.4)
(85, 4991.46)
(28, 4989.68)
(10, 4999.09)
(76, 5001.91)
(16, 5013.02)
(29, 5011.45)
(23, 4999.62)
(20, 5005.33)
(38, 5004.36)
(32, 4995.73)
(26, 4988.94)
(2, 5005.35)
(56, 4993.5)
(59, 4983.47)
(71, 4983.03)
(14, 5015.37)
(62, 4977.45)
(83, 5004.51)
(80, 4989.88)
(68, 5009.99)
(47, 4986.28)
(44, 5005.9)
(65, 4984.62)
(77, 4975.47)
(17, 4996.1)
(86, 4996.25)
(74, 4992.51)
(95, 4997.13)
(41, 4999.05)
(35, 5008.75)
(89, 5011.01)
(92, 4979.82)
(8, 4994.24)
(5, 4989.88)
(53, 5001.88)
(11, 4994.58)
(50, 4990.66)
(98, 5012.84)
