(24, 50.85)
(84, 50.57)
(12, 50.38)
(60, 50.33)
(78, 49.98)
(54, 50.45)
(66, 50.51)
(90, 50.36)
(42, 50.33)
(96, 50.74)
(6, 50.5)
(48, 50.88)
(72, 50.75)
(36, 50.73)
(18, 50.57)
(30, 51.11)
(7, 50.43)
(31, 50.55)
(61, 51.06)
(73, 50.71)
(1, 50.37)
(19, 50.61)
(91, 50.43)
(85, 50.47)
(49, 50.43)
(97, 50.19)
(79, 50.06)
(67, 50.69)
(37, 50.33)
(55, 50.93)
(43, 50.28)
(25, 51.09)
(13, 50.62)
(92, 50.28)
(74, 50.58)
(32, 50.95)
(98, 50.55)
(2, 50.64)
(26, 50.51)
(62, 50.34)
(80, 50.34)
(56, 50.79)
(50, 50.73)
(38, 50.59)
(8, 49.91)
(68, 50.09)
(14, 51.08)
(86, 50.9)
(44, 50.9)
(20, 50.34)
(45, 50.6)
(93, 50.04)
(87, 50.27)
(99, 49.87)
(69, 50.73)
(57, 50.68)
(81, 50.58)
(33, 50.28)
(51, 51.19)
(3, 51.15)
(21, 50.72)
(9, 50.76)
(63, 50.8)
(75, 50.77)
(27, 51.01)
(15, 50.89)
(39, 50.5)
(40, 50.62)
(94, 50.69)
(46, 50.31)
(10, 50.21)
(52, 50.77)
(70, 50.76)
(64, 50.84)
(58, 50.86)
(100, 50.69)
(22, 50.47)
(82, 50.77)
(76, 50.38)
(88, 50.65)
(16, 50.29)
(28, 50.82)
(34, 50.65)
(4, 50.5)
(11, 50.54)
(83, 50.33)
(95, 50.49)
(23, 50.9)
(41, 50.43)
(53, 50.82)
(17, 50.46)
(5, 50.65)
(47, 50.31)
(89, 50.5)
(59, 50.55)
(29, 50.27)
(77, 49.94)
(35, 50.57)
(71, 50.22)
(65, 50.68)
